Title,Composer
"(On the) Sunny Side of the Street","Jimmy McHugh"
"1ere. Gymnopédie","Erik Satie (1866--1925)"
"Adagio in G minor","Remo Giazotto (1910–1998)"
"As Time Goes By","Herman Hupfeld"
"Ashokan Farewell","Jay Ungar"
"Auld Lang Syne","Traditional Scottish"
"Badinerie","Johann Sebastian Bach (1685–1750)"
"Basso - Gypsy in Am","Traditional Hungarian"
"Bear Dance","Traditional"
"Bella Ciao","Traditional Italian"
"Bella ciao","Arrangements:Marc Mouries"
"Bésame Mucho","Consuelo Velázquez"
"Bistro Fada","Stephane Wrembel"
"Blue Lou Lick","Stephane Grappelli"
"Blue Lou","Stephane Grappelli"
"Blues en Mineur","Django Reinhardt"
"Brandenburg Concerto No. 3","Johann Sebastian Bach"
"Bublitchki","Traditional Russian"
"Can she excuse my wrongs","John Dowland (1563--1626)"
"Canon Rock","J. Pachelbel (1653-1706)"
"Canon in D","J. Pachelbel (1653-1706)"
"Canon","J. Pachelbel"
"Carol of the Bells","Mykola Leontovych (1877–1921)"
"Centone di Sonate","Niccolò Paganini (1782-1840)"
"Charlie Parker Minor Lick","Marc Mouries"
"Chicago","Fred Fisher"
"Chosen Kalle Mazel Tov","Traditional"
"Color Purple","Quincy Jones"
"Concerto in Sol Minore","Antonio Vivaldi (1678 – 1741)"
"Contraband Police","Lukasz Kapuscinski"
"Daphné","Django Reinhardt"
"Darby O' Gill - Fox Chase","Traditional"
"Deck the Halls","Traditional Welsh"
"Devil's Dream","Traditional"
"Down To The River To Pray","Traditional American"
"Dr. Gilbert's","Traditional"
"Eine Kleine Nachtmusik","W. A. Mozart"
"Emma's Waltz","Traditional Finnish"
"Erev shel Shoshanim","Yosef Hadar"
"Etude № 2","Kreutzer"
"Formatting of piece headers","Marc Mouries"
"Für Elise","Ludwig van Beethoven"
"Gammes de Blues","Marc Mouries"
"Gari Gari","Traditional Hungarian"
"Gary Owen","Traditional Irish"
"Greensleeves Jig","Traditional English"
"Greensleeves","Traditional English"
"Happy Birthday","Patty Hill and Mildred J. Hill (1893)"
"Hatikvah (The Hope)","Traditional"
"Hedgehog Video Music","Unknown"
"Hier Encore","Charles Aznavour"
"Hora Mărțișorului","Grigoraș Dinicu (1889-1949)"
"Humoresque","Antonín Dvořák (1841–1904)"
